JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Hybrid Application Developer,SKEIN TECHNOLOGIES,"Mumbai, Maharashtra",17 days ago,2020-12-26,"No of open positions* : 5 Permanent + 5 Contract.
Primary skills: Ionic Framework, Angular JavaScript.
CTC Range: 3.6 – 4.5 L/A.","₹25,000 - ₹40,000 a month"
"PHP Software Developer, Website Developer, CODEIGNITER (PHP Framework)",EROCKETMALL ONLINE ASIA LIMITED,"Andheri, Mumbai, Maharashtra",9 days ago,2020-12-26,"Oxiinc Group is an Indian multinational technology company that specializes in Internet-related services and products.
What We Have For You: *.","₹20,000 - ₹50,000 a month"
Web Developer,Career Makeover Services,"Mumbai, Maharashtra",1 day ago,2020-12-26,"Write well designed, testable, efficient code by using best software development practices.
Create a website layout/user interface by using standard HTML/CSS…","₹8,086 - ₹34,387 a month"
PHP Web Developer,Exavibes Services Private Limited,"Mumbai, Maharashtra",1 day ago,2020-12-26,"Urgent –PHP Developer for Exavibes Services Private Limited at Kandivali (Mumbai).
We have an urgent opening for PHP Developer for Exavibes Services.","₹10,000 - ₹40,000 a month"
Content Developer,bio INC,"Mumbai, Maharashtra",1 day ago,2020-12-26,"Research industry-related topics (combining online sources, interviews and studies).
Write clear marketing copy to promote our products/services.","₹20,094 - ₹82,785 a month"
SQL Developer,Neoquant solutions Pvt LTD,"Mumbai, Maharashtra",1 day ago,2020-12-26,"Company Name: NeoQuant Solutions Pvt Ltd.
Years of Experience: Experience of 2 - 4 years.
Educational Qualification*: MCA/ME/MSc-IT/BE/B-Tech/BCA/BSC IT in…","₹2,00,000 - ₹6,00,000 a year"
Front End Developer,Breaksaga Private Limited,"Andheri, Mumbai, Maharashtra",Today,2020-12-26,"We are looking for programmers with a keen eye for design for the position of Front End Developer.
Front end Developers are responsible for ensuring the…","₹15,000 - ₹45,000 a month"
Junior Front-end Developer,Neosoft Technologies Pvt.Ltd,"Mumbai, Maharashtra",30+ days ago,2020-12-26,"Looking for skilled passionate Front-end developer with good HTML5, CSS3, Bootstrap, javascript skill.
Participate in code reviews and coding exercises that…",
Software Developer/database developer,VU Technologies pvt LTD,"Mumbai, Maharashtra",20 days ago,2020-12-26,"Take requirement from clients and developing the software.
Job Types: Full-time, Fresher, Walk-In.
Salary: From ₹18,000.00 per month.","₹18,000 a month"
Junior Backend End Developer,TIGI HR SOLUTION,"Mumbai, Maharashtra",3 days ago,2020-12-26,"Integration of user-facing elements developed by a front-end developers with server side logic.
Mon to Fri | 9 hours flexible.
Working Time : 9 hours flexible.","₹58,000 a month"
Oracle PL/SQL Developer,Synergics Solutions Pvt. Ltd.,"Mumbai, Maharashtra",1 day ago,2020-12-26,"As an Oracle PL/SQL Developer, you will be a key member of the Database Group responsible for providing overall database support with concentration in back-end…","₹4,20,000 a year"
Web Designer & Developer,V Art Services Pvt Ltd,"Andheri, Mumbai, Maharashtra",1 day ago,2020-12-26,"Web designer/*developer is responsible for the design, layout and coding of a website.
They are involved with the technical and graphical aspects *of a…","₹25,000 - ₹75,000 a month"
